1: n = 7 m = 3, ms = 12, mst = a[0..3][0..1]
5906: n = 8 m = 9, ms = 18, mst = a[0..4][4..8]
5907: n = 3 m = 8, ms = 10, mst = a[0..2][3..7]
5908: n = 2 m = 5, ms = 10, mst = a[0..1][3..4]
5909: n = 7 m = 1, ms = 11, mst = a[1..4][0..0]
5910: n = 9 m = 6, ms = 24, mst = a[0..8][1..5]
5911: n = 10 m = 4, ms = 25, mst = a[0..4][0..3]
5912: n = 4 m = 7, ms = 18, mst = a[1..2][2..6]
5913: n = 5 m = 7, ms = 6, mst = a[1..1][0..2]
5914: n = 3 m = 2, ms = 3, mst = a[1..1][1..1]
5915: n = 3 m = 3, ms = 4, mst = a[1..1][1..1]
5916: n = 6 m = 7, ms = 24, mst = a[0..5][2..6]
5917: n = 7 m = 10, ms = 10, mst = a[0..0][4..8]
5918: n = 8 m = 5, ms = 17, mst = a[1..5][2..4]
5919: n = 8 m = 4, ms = 14, mst = a[0..6][0..0]
5920: n = 6 m = 9, ms = 18, mst = a[0..5][0..0]
5921: n = 5 m = 6, ms = 15, mst = a[1..4][3..4]
5922: n = 8 m = 7, ms = 24, mst = a[3..7][2..3]
5923: n = 5 m = 6, ms = 14, mst = a[0..1][0..5]
5924: n = 2 m = 6, ms = 4, mst = a[0..1][1..2]
5925: n = 5 m = 10, ms = 17, mst = a[4..4][3..9]
5926: n = 8 m = 8, ms = 20, mst = a[0..3][5..7]
5927: n = 3 m = 4, ms = 7, mst = a[0..1][3..3]
5928: n = 1 m = 7, ms = 5, mst = a[0..0][3..5]
5929: n = 9 m = 3, ms = 18, mst = a[2..8][0..2]
5930: n = 1 m = 9, ms = 8, mst = a[0..0][1..8]
5931: n = 7 m = 9, ms = 24, mst = a[0..2][0..6]
5932: n = 2 m = 9, ms = 10, mst = a[0..1][5..7]
5933: n = 6 m = 10, ms = 25, mst = a[2..5][5..8]
5934: n = 9 m = 4, ms = 21, mst = a[1..7][0..3]
5935: n = 10 m = 6, ms = 42, mst = a[2..7][1..5]
5936: n = 7 m = 7, ms = 16, mst = a[1..3][1..6]
5937: n = 3 m = 7, ms = 6, mst = a[1..2][6..6]
5938: n = 4 m = 10, ms = 13, mst = a[0..2][4..6]
5939: n = 4 m = 2, ms = 4, mst = a[1..1][1..1]
5940: n = 7 m = 9, ms = 24, mst = a[0..5][1..8]
5941: n = 4 m = 2, ms = 6, mst = a[1..3][0..0]
5942: n = 8 m = 2, ms = 9, mst = a[5..6][0..1]
5943: n = 2 m = 3, ms = 5, mst = a[1..1][0..1]
5944: n = 10 m = 10, ms = 23, mst = a[1..2][0..9]
5945: n = 5 m = 10, ms = 10, mst = a[0..2][1..2]
5946: n = 2 m = 5, ms = 9, mst = a[0..1][2..3]
5947: n = 10 m = 7, ms = 44, mst = a[1..8][0..6]
5948: n = 9 m = 4, ms = 9, mst = a[1..5][2..2]
5949: n = 8 m = 4, ms = 19, mst = a[0..6][0..3]
5950: n = 5 m = 7, ms = 11, mst = a[2..3][2..4]
5951: n = 4 m = 6, ms = 7, mst = a[0..3][0..0]
5952: n = 6 m = 4, ms = 11, mst = a[1..4][0..0]
5953: n = 8 m = 3, ms = 8, mst = a[1..5][1..2]
5954: n = 8 m = 9, ms = 16, mst = a[0..4][6..7]
5955: n = 8 m = 8, ms = 13, mst = a[6..6][0..7]
5956: n = 9 m = 5, ms = 22, mst = a[0..5][1..4]
5957: n = 6 m = 7, ms = 11, mst = a[4..5][0..4]
5958: n = 2 m = 8, ms = 12, mst = a[0..0][1..5]
5959: n = 6 m = 9, ms = 7, mst = a[1..3][4..5]
5960: n = 10 m = 8, ms = 50, mst = a[2..8][0..7]
5961: n = 2 m = 3, ms = 4, mst = a[0..0][1..2]
5962: n = 1 m = 7, ms = 11, mst = a[0..0][0..4]
5963: n = 3 m = 5, ms = 5, mst = a[0..1][2..2]
5964: n = 9 m = 3, ms = 6, mst = a[3..8][0..0]
5965: n = 2 m = 2, ms = 6, mst = a[0..1][0..0]
5966: n = 4 m = 9, ms = 20, mst = a[0..2][1..3]
5967: n = 5 m = 9, ms = 9, mst = a[0..2][0..4]
5968: n = 7 m = 8, ms = 23, mst = a[0..6][3..4]
5969: n = 2 m = 5, ms = 4, mst = a[1..1][0..0]
5970: n = 7 m = 6, ms = 30, mst = a[0..3][0..4]
5971: n = 1 m = 10, ms = 12, mst = a[0..0][2..6]
5972: n = 4 m = 3, ms = 7, mst = a[1..1][0..2]
5973: n = 9 m = 8, ms = 38, mst = a[0..5][0..7]
5974: n = 3 m = 1, ms = 8, mst = a[1..2][0..0]
5975: n = 7 m = 7, ms = 16, mst = a[0..3][3..6]
5976: n = 8 m = 3, ms = 23, mst = a[2..6][0..2]
5977: n = 3 m = 10, ms = 8, mst = a[1..2][2..5]
5978: n = 2 m = 6, ms = 5, mst = a[0..1][4..5]
5979: n = 5 m = 9, ms = 27, mst = a[0..3][0..8]
5980: n = 2 m = 9, ms = 8, mst = a[1..1][7..8]
5981: n = 7 m = 10, ms = 23, mst = a[0..5][1..9]
5982: n = 4 m = 2, ms = 5, mst = a[1..1][0..1]
5983: n = 1 m = 1, ms = 0, mst is empty
5984: n = 1 m = 10, ms = 4, mst = a[0..0][9..9]
5985: n = 10 m = 6, ms = 21, mst = a[6..8][0..3]
5986: n = 3 m = 3, ms = 4, mst = a[0..0][1..1]
5987: n = 5 m = 8, ms = 10, mst = a[0..2][0..1]
5988: n = 7 m = 1, ms = 5, mst = a[2..6][0..0]
5989: n = 8 m = 10, ms = 12, mst = a[0..1][6..8]
5990: n = 2 m = 10, ms = 7, mst = a[0..0][2..4]
5991: n = 9 m = 5, ms = 31, mst = a[1..6][0..4]
5992: n = 8 m = 6, ms = 26, mst = a[0..7][0..4]
5993: n = 1 m = 5, ms = 6, mst = a[0..0][0..2]
5994: n = 10 m = 5, ms = 25, mst = a[2..9][0..2]
5995: n = 2 m = 7, ms = 16, mst = a[0..1][1..6]
5996: n = 6 m = 7, ms = 6, mst = a[0..0][3..6]
5997: n = 6 m = 2, ms = 4, mst = a[5..5][0..0]
5998: n = 3 m = 9, ms = 13, mst = a[2..2][1..8]
5999: n = 10 m = 1, ms = 3, mst = a[7..9][0..0]
6000: n = 9 m = 2, ms = 8, mst = a[7..8][0..1]
6001: n = 9 m = 9, ms = 34, mst = a[3..8][0..7]
6002: n = 8 m = 9, ms = 21, mst = a[4..7][5..8]
6003: n = 4 m = 9, ms = 17, mst = a[1..3][3..8]
6004: n = 8 m = 8, ms = 22, mst = a[1..4][1..4]
6005: n = 9 m = 9, ms = 28, mst = a[2..8][2..7]
6006: n = 1 m = 6, ms = 11, mst = a[0..0][1..4]
6007: n = 10 m = 7, ms = 17, mst = a[4..8][0..6]
6008: n = 6 m = 5, ms = 22, mst = a[0..3][2..4]
6009: n = 9 m = 6, ms = 27, mst = a[2..8][0..1]
6010: n = 1 m = 10, ms = 7, mst = a[0..0][0..2]
6011: n = 2 m = 10, ms = 6, mst = a[0..1][0..0]
6012: n = 3 m = 6, ms = 9, mst = a[0..0][0..3]
6013: n = 7 m = 5, ms = 16, mst = a[1..2][2..4]
6014: n = 1 m = 3, ms = 7, mst = a[0..0][0..2]
6015: n = 2 m = 6, ms = 6, mst = a[1..1][0..1]
6016: n = 4 m = 1, ms = 4, mst = a[2..2][0..0]
6017: n = 4 m = 9, ms = 11, mst = a[0..3][5..6]
6018: n = 6 m = 6, ms = 25, mst = a[1..5][0..4]
6019: n = 9 m = 10, ms = 26, mst = a[4..7][1..9]
6020: n = 7 m = 7, ms = 16, mst = a[1..5][3..6]
6021: n = 4 m = 4, ms = 21, mst = a[0..3][0..3]
6022: n = 10 m = 3, ms = 13, mst = a[3..8][0..2]
6023: n = 8 m = 9, ms = 27, mst = a[4..6][0..8]
6024: n = 7 m = 5, ms = 20, mst = a[0..5][1..3]
6025: n = 8 m = 9, ms = 25, mst = a[0..2][1..8]
6026: n = 9 m = 3, ms = 18, mst = a[0..5][0..2]
6027: n = 1 m = 10, ms = 5, mst = a[0..0][0..2]
6028: n = 6 m = 3, ms = 9, mst = a[2..5][2..2]
6029: n = 4 m = 3, ms = 10, mst = a[0..1][1..2]
6030: n = 9 m = 4, ms = 29, mst = a[1..8][0..2]
6031: n = 9 m = 6, ms = 15, mst = a[3..5][0..1]
6032: n = 3 m = 3, ms = 4, mst = a[2..2][1..2]
6033: n = 3 m = 1, ms = 7, mst = a[0..2][0..0]
6034: n = 3 m = 6, ms = 9, mst = a[0..2][3..5]
6035: n = 2 m = 5, ms = 3, mst = a[1..1][3..3]
6036: n = 5 m = 9, ms = 9, mst = a[0..4][6..6]
6037: n = 1 m = 9, ms = 9, mst = a[0..0][0..5]
6038: n = 7 m = 2, ms = 4, mst = a[0..3][1..1]
6039: n = 10 m = 6, ms = 12, mst = a[1..5][4..5]
6040: n = 5 m = 6, ms = 20, mst = a[1..4][0..1]
6041: n = 2 m = 4, ms = 14, mst = a[0..1][1..3]
6042: n = 1 m = 2, ms = 3, mst = a[0..0][1..1]
6043: n = 7 m = 10, ms = 29, mst = a[5..6][1..9]
6044: n = 4 m = 1, ms = 4, mst = a[0..0][0..0]
6045: n = 3 m = 6, ms = 13, mst = a[0..1][0..4]
6046: n = 10 m = 6, ms = 31, mst = a[1..7][1..5]
6047: n = 4 m = 4, ms = 13, mst = a[1..2][0..2]
6048: n = 3 m = 10, ms = 19, mst = a[1..2][0..9]
6049: n = 2 m = 8, ms = 11, mst = a[0..0][1..7]
6050: n = 4 m = 10, ms = 17, mst = a[0..2][5..8]
6051: n = 5 m = 4, ms = 8, mst = a[1..3][2..3]
6052: n = 8 m = 8, ms = 17, mst = a[0..4][2..3]
6053: n = 4 m = 9, ms = 22, mst = a[0..3][1..4]
6054: n = 6 m = 5, ms = 21, mst = a[3..5][0..4]
6055: n = 8 m = 3, ms = 13, mst = a[0..4][2..2]
6056: n = 1 m = 3, ms = 3, mst = a[0..0][1..1]
6057: n = 1 m = 6, ms = 7, mst = a[0..0][0..1]
6058: n = 10 m = 5, ms = 22, mst = a[1..7][0..2]
6059: n = 10 m = 4, ms = 13, mst = a[2..9][2..3]
6060: n = 8 m = 9, ms = 26, mst = a[5..7][0..8]
6061: n = 2 m = 6, ms = 13, mst = a[0..0][0..4]
6062: n = 2 m = 4, ms = 3, mst = a[1..1][0..0]
6063: n = 3 m = 6, ms = 19, mst = a[0..2][1..3]
6064: n = 3 m = 7, ms = 8, mst = a[1..2][3..3]
6065: n = 7 m = 6, ms = 9, mst = a[5..6][0..4]
6066: n = 8 m = 6, ms = 36, mst = a[0..5][0..5]
6067: n = 1 m = 8, ms = 5, mst = a[0..0][1..2]
6068: n = 8 m = 1, ms = 6, mst = a[4..5][0..0]
6069: n = 5 m = 6, ms = 9, mst = a[0..1][1..3]
6070: n = 6 m = 8, ms = 13, mst = a[2..3][0..6]
6071: n = 4 m = 1, ms = 5, mst = a[2..3][0..0]
6072: n = 4 m = 9, ms = 13, mst = a[0..2][4..7]
6073: n = 4 m = 8, ms = 12, mst = a[0..2][1..2]
6074: n = 2 m = 4, ms = 16, mst = a[0..1][0..3]
6075: n = 6 m = 3, ms = 16, mst = a[0..5][0..2]
6076: n = 10 m = 1, ms = 11, mst = a[2..4][0..0]
6077: n = 4 m = 5, ms = 8, mst = a[0..2][3..4]
6078: n = 1 m = 7, ms = 9, mst = a[0..0][1..4]
6079: n = 8 m = 7, ms = 11, mst = a[0..1][5..6]
6080: n = 1 m = 6, ms = 5, mst = a[0..0][1..5]
6081: n = 10 m = 6, ms = 21, mst = a[0..5][0..5]
6082: n = 5 m = 6, ms = 14, mst = a[3..4][3..5]
6083: n = 3 m = 9, ms = 12, mst = a[0..1][5..8]
6084: n = 1 m = 3, ms = 0, mst = a[0..0][2..2]
6085: n = 8 m = 3, ms = 13, mst = a[3..6][1..1]
6086: n = 4 m = 9, ms = 17, mst = a[1..3][5..7]
6087: n = 4 m = 5, ms = 12, mst = a[0..3][0..3]
6088: n = 1 m = 6, ms = 10, mst = a[0..0][3..5]
6089: n = 7 m = 6, ms = 20, mst = a[0..5][1..3]
6090: n = 6 m = 3, ms = 18, mst = a[0..4][0..1]
6091: n = 8 m = 5, ms = 12, mst = a[0..2][0..2]
6092: n = 3 m = 9, ms = 21, mst = a[0..1][0..8]
6093: n = 3 m = 7, ms = 9, mst = a[0..2][6..6]
6094: n = 3 m = 6, ms = 6, mst = a[0..2][2..4]
6095: n = 5 m = 3, ms = 13, mst = a[0..3][0..0]
6096: n = 9 m = 2, ms = 11, mst = a[6..8][0..1]
6097: n = 8 m = 7, ms = 16, mst = a[6..6][0..6]
6098: n = 3 m = 5, ms = 9, mst = a[0..0][2..4]
6099: n = 4 m = 5, ms = 10, mst = a[0..3][0..1]
6100: n = 10 m = 6, ms = 16, mst = a[0..7][0..2]
6101: n = 2 m = 2, ms = 2, mst = a[1..1][1..1]
6102: n = 2 m = 5, ms = 8, mst = a[0..1][0..0]
6103: n = 8 m = 3, ms = 19, mst = a[0..7][1..2]
6104: n = 7 m = 1, ms = 7, mst = a[2..3][0..0]
6105: n = 1 m = 1, ms = 0, mst is empty
6106: n = 10 m = 8, ms = 8, mst = a[7..8][3..7]
6107: n = 4 m = 1, ms = 5, mst = a[0..1][0..0]
6108: n = 7 m = 6, ms = 16, mst = a[1..2][1..5]
6109: n = 4 m = 9, ms = 14, mst = a[0..0][1..7]
6110: n = 5 m = 4, ms = 9, mst = a[1..4][0..0]
6111: n = 10 m = 4, ms = 8, mst = a[7..9][0..0]
6112: n = 2 m = 4, ms = 3, mst = a[1..1][2..2]
6113: n = 9 m = 9, ms = 22, mst = a[2..8][2..4]
6114: n = 4 m = 8, ms = 11, mst = a[0..1][2..6]
6115: n = 2 m = 8, ms = 15, mst = a[0..1][0..5]
6116: n = 2 m = 5, ms = 12, mst = a[0..1][1..4]
6117: n = 8 m = 5, ms = 17, mst = a[0..7][1..1]
6118: n = 2 m = 6, ms = 6, mst = a[0..0][1..4]
6119: n = 4 m = 3, ms = 7, mst = a[0..1][0..0]
6120: n = 5 m = 6, ms = 9, mst = a[0..3][0..5]
6121: n = 10 m = 4, ms = 28, mst = a[0..8][0..3]
6122: n = 7 m = 4, ms = 28, mst = a[0..6][0..3]
6123: n = 8 m = 2, ms = 15, mst = a[5..7][0..1]
6124: n = 2 m = 2, ms = 3, mst = a[0..1][0..1]
6125: n = 1 m = 1, ms = 0, mst is empty
6126: n = 2 m = 4, ms = 7, mst = a[1..1][0..3]
6127: n = 8 m = 2, ms = 8, mst = a[2..5][1..1]
6128: n = 1 m = 6, ms = 4, mst = a[0..0][5..5]
6129: n = 8 m = 9, ms = 15, mst = a[2..7][6..7]
6130: n = 1 m = 7, ms = 10, mst = a[0..0][2..4]
6131: n = 8 m = 2, ms = 8, mst = a[1..2][0..1]
6132: n = 4 m = 3, ms = 10, mst = a[0..2][0..1]
6133: n = 6 m = 10, ms = 34, mst = a[0..5][2..7]
6134: n = 8 m = 1, ms = 10, mst = a[2..5][0..0]
6135: n = 3 m = 9, ms = 6, mst = a[1..2][3..5]
6136: n = 4 m = 10, ms = 10, mst = a[2..3][5..7]
6137: n = 2 m = 2, ms = 10, mst = a[0..1][0..1]
6138: n = 9 m = 2, ms = 7, mst = a[3..4][1..1]
6139: n = 2 m = 3, ms = 0, mst = a[1..1][0..0]
6140: n = 2 m = 3, ms = 6, mst = a[0..1][1..1]
6141: n = 6 m = 8, ms = 25, mst = a[3..5][0..7]
6142: n = 2 m = 9, ms = 9, mst = a[0..1][2..8]
6143: n = 6 m = 8, ms = 14, mst = a[0..1][2..6]
6144: n = 3 m = 7, ms = 9, mst = a[0..0][0..5]
6145: n = 6 m = 10, ms = 16, mst = a[0..5][3..4]
6146: n = 2 m = 2, ms = 3, mst = a[0..0][1..1]
6147: n = 1 m = 2, ms = 0, mst = a[0..0][1..1]
6148: n = 9 m = 8, ms = 29, mst = a[4..8][0..5]
6149: n = 1 m = 3, ms = 4, mst = a[0..0][0..2]
6150: n = 8 m = 3, ms = 12, mst = a[0..1][0..2]
6151: n = 8 m = 7, ms = 17, mst = a[1..1][0..6]
6152: n = 3 m = 1, ms = 1, mst = a[1..1][0..0]
6153: n = 2 m = 5, ms = 9, mst = a[0..1][0..2]
6154: n = 7 m = 2, ms = 10, mst = a[3..5][0..1]
6155: n = 10 m = 8, ms = 26, mst = a[1..5][0..3]
6156: n = 1 m = 2, ms = 0, mst = a[0..0][1..1]
6157: n = 9 m = 5, ms = 14, mst = a[4..7][1..2]
6158: n = 7 m = 8, ms = 8, mst = a[4..6][3..6]
6159: n = 4 m = 4, ms = 9, mst = a[1..2][1..2]
6160: n = 1 m = 3, ms = 8, mst = a[0..0][0..2]
6161: n = 6 m = 3, ms = 6, mst = a[3..5][1..1]
6162: n = 4 m = 4, ms = 5, mst = a[1..3][3..3]
6163: n = 1 m = 1, ms = 1, mst = a[0..0][0..0]
6164: n = 7 m = 4, ms = 21, mst = a[0..6][2..3]
6165: n = 8 m = 9, ms = 17, mst = a[2..4][1..6]
6166: n = 7 m = 1, ms = 4, mst = a[3..3][0..0]
6167: n = 9 m = 1, ms = 7, mst = a[1..2][0..0]
6168: n = 5 m = 5, ms = 11, mst = a[0..2][2..4]
6169: n = 5 m = 3, ms = 8, mst = a[1..4][2..2]
6170: n = 2 m = 7, ms = 10, mst = a[0..1][3..4]
6171: n = 7 m = 6, ms = 21, mst = a[1..6][2..5]
6172: n = 4 m = 1, ms = 0, mst = a[0..0][0..0]
6173: n = 5 m = 6, ms = 4, mst = a[2..2][4..4]
6174: n = 2 m = 6, ms = 9, mst = a[0..1][4..5]
6175: n = 10 m = 9, ms = 43, mst = a[0..8][0..8]
6176: n = 8 m = 8, ms = 24, mst = a[5..7][0..6]
6177: n = 7 m = 1, ms = 3, mst = a[3..3][0..0]
6178: n = 6 m = 2, ms = 5, mst = a[4..5][1..1]
6179: n = 4 m = 10, ms = 26, mst = a[0..3][2..8]
6180: n = 8 m = 10, ms = 23, mst = a[0..1][3..9]
6181: n = 6 m = 3, ms = 8, mst = a[0..1][1..2]
6182: n = 3 m = 6, ms = 10, mst = a[2..2][0..4]
6183: n = 9 m = 6, ms = 14, mst = a[4..5][1..5]
6184: n = 9 m = 9, ms = 29, mst = a[5..8][2..8]
6185: n = 10 m = 1, ms = 4, mst = a[4..4][0..0]
6186: n = 9 m = 7, ms = 30, mst = a[4..8][0..5]
6187: n = 8 m = 7, ms = 32, mst = a[0..6][1..6]
6188: n = 1 m = 10, ms = 8, mst = a[0..0][0..6]
6189: n = 9 m = 2, ms = 7, mst = a[0..5][0..0]
6190: n = 8 m = 1, ms = 10, mst = a[3..7][0..0]
6191: n = 5 m = 6, ms = 11, mst = a[1..4][0..0]
6192: n = 3 m = 1, ms = 0, mst = a[0..0][0..0]
6193: n = 7 m = 9, ms = 14, mst = a[2..6][6..6]
6194: n = 2 m = 6, ms = 6, mst = a[0..1][0..2]
6195: n = 6 m = 4, ms = 20, mst = a[0..2][0..1]
6196: n = 2 m = 1, ms = 3, mst = a[0..1][0..0]
6197: n = 1 m = 10, ms = 10, mst = a[0..0][0..4]
6198: n = 8 m = 5, ms = 17, mst = a[2..5][0..2]
6199: n = 10 m = 10, ms = 27, mst = a[0..9][0..5]
6200: n = 7 m = 8, ms = 31, mst = a[0..6][1..4]
6201: n = 8 m = 3, ms = 25, mst = a[0..5][0..2]
6202: n = 10 m = 7, ms = 39, mst = a[0..7][0..3]
6203: n = 6 m = 2, ms = 5, mst = a[4..5][0..0]
6204: n = 4 m = 1, ms = 2, mst = a[2..2][0..0]
6205: n = 8 m = 1, ms = 10, mst = a[0..3][0..0]
6206: n = 5 m = 5, ms = 10, mst = a[3..4][2..4]
6207: n = 1 m = 6, ms = 8, mst = a[0..0][0..5]
6208: n = 3 m = 3, ms = 3, mst = a[2..2][1..1]
6209: n = 3 m = 7, ms = 8, mst = a[1..2][0..0]
6210: n = 5 m = 2, ms = 6, mst = a[0..1][0..0]
6211: n = 1 m = 6, ms = 3, mst = a[0..0][1..1]
6212: n = 4 m = 3, ms = 3, mst = a[1..1][1..1]
6213: n = 1 m = 2, ms = 2, mst = a[0..0][0..1]
6214: n = 9 m = 9, ms = 26, mst = a[0..2][0..7]
6215: n = 8 m = 6, ms = 22, mst = a[1..7][3..4]
6216: n = 7 m = 5, ms = 12, mst = a[0..2][3..4]
6217: n = 6 m = 6, ms = 12, mst = a[0..2][1..2]
6218: n = 3 m = 7, ms = 11, mst = a[0..2][4..6]
6219: n = 6 m = 3, ms = 6, mst = a[5..5][0..1]
6220: n = 6 m = 9, ms = 29, mst = a[1..3][0..8]
6221: n = 9 m = 1, ms = 3, mst = a[7..7][0..0]
6222: n = 2 m = 2, ms = 4, mst = a[0..1][0..1]
6223: n = 6 m = 1, ms = 3, mst = a[1..2][0..0]
6224: n = 1 m = 3, ms = 0, mst = a[0..0][2..2]
6225: n = 5 m = 1, ms = 0, mst = a[1..1][0..0]
6226: n = 6 m = 3, ms = 4, mst = a[1..1][2..2]
6227: n = 5 m = 1, ms = 3, mst = a[1..1][0..0]
6228: n = 3 m = 1, ms = 3, mst = a[2..2][0..0]
6229: n = 5 m = 8, ms = 15, mst = a[0..2][2..7]
6230: n = 1 m = 9, ms = 8, mst = a[0..0][1..7]
6231: n = 4 m = 3, ms = 6, mst = a[0..3][1..1]
6232: n = 1 m = 7, ms = 4, mst = a[0..0][2..2]
6233: n = 3 m = 5, ms = 4, mst = a[0..0][0..0]
6234: n = 6 m = 6, ms = 18, mst = a[0..4][2..4]
6235: n = 1 m = 10, ms = 6, mst = a[0..0][0..4]
6236: n = 4 m = 10, ms = 19, mst = a[1..2][2..8]
6237: n = 2 m = 1, ms = 0, mst is empty
6238: n = 9 m = 10, ms = 20, mst = a[0..1][0..7]
6239: n = 1 m = 6, ms = 14, mst = a[0..0][0..4]
6240: n = 2 m = 6, ms = 8, mst = a[1..1][2..5]
6241: n = 7 m = 8, ms = 33, mst = a[0..6][0..6]
6242: n = 3 m = 3, ms = 7, mst = a[0..2][0..2]
6243: n = 5 m = 7, ms = 11, mst = a[0..1][0..6]
6244: n = 1 m = 10, ms = 16, mst = a[0..0][2..9]
6245: n = 4 m = 8, ms = 9, mst = a[1..1][4..6]
6246: n = 4 m = 3, ms = 6, mst = a[0..1][1..2]
6247: n = 1 m = 9, ms = 10, mst = a[0..0][1..4]
6248: n = 5 m = 9, ms = 20, mst = a[0..3][3..8]
6249: n = 7 m = 2, ms = 16, mst = a[0..6][0..1]
6250: n = 3 m = 4, ms = 5, mst = a[1..1][0..2]
6251: n = 2 m = 10, ms = 17, mst = a[0..0][1..9]
6252: n = 4 m = 3, ms = 9, mst = a[0..2][0..1]
6253: n = 9 m = 5, ms = 20, mst = a[0..4][2..3]
6254: n = 1 m = 9, ms = 4, mst = a[0..0][2..2]
6255: n = 8 m = 2, ms = 20, mst = a[1..7][0..1]
6256: n = 9 m = 1, ms = 4, mst = a[0..0][0..0]
6257: n = 5 m = 3, ms = 13, mst = a[0..4][2..2]
6258: n = 6 m = 6, ms = 15, mst = a[1..4][3..4]
6259: n = 6 m = 6, ms = 27, mst = a[2..5][1..3]
6260: n = 5 m = 2, ms = 3, mst = a[0..4][0..0]
6261: n = 1 m = 2, ms = 1, mst = a[0..0][1..1]
6262: n = 6 m = 5, ms = 8, mst = a[0..0][1..4]
6263: n = 5 m = 6, ms = 12, mst = a[0..2][2..3]
6264: n = 2 m = 3, ms = 8, mst = a[0..0][1..2]
6265: n = 4 m = 3, ms = 8, mst = a[2..3][0..2]
6266: n = 1 m = 10, ms = 15, mst = a[0..0][2..7]
6267: n = 9 m = 6, ms = 8, mst = a[0..2][1..2]
6268: n = 4 m = 1, ms = 6, mst = a[0..3][0..0]
6269: n = 4 m = 4, ms = 10, mst = a[0..2][0..0]
6270: n = 1 m = 6, ms = 2, mst = a[0..0][0..0]
6271: n = 5 m = 7, ms = 23, mst = a[1..3][0..5]
6272: n = 2 m = 6, ms = 9, mst = a[0..1][0..4]
6273: n = 7 m = 4, ms = 14, mst = a[0..6][1..3]
6274: n = 6 m = 9, ms = 14, mst = a[0..2][2..3]
6275: n = 6 m = 5, ms = 14, mst = a[1..4][0..4]
6276: n = 9 m = 3, ms = 12, mst = a[3..8][0..1]
6277: n = 2 m = 7, ms = 5, mst = a[0..1][1..1]
6278: n = 1 m = 9, ms = 3, mst = a[0..0][7..8]
6279: n = 6 m = 8, ms = 13, mst = a[0..2][5..6]
6280: n = 7 m = 10, ms = 21, mst = a[0..3][1..7]
6281: n = 1 m = 3, ms = 0, mst is empty
6282: n = 1 m = 5, ms = 5, mst = a[0..0][1..2]
6283: n = 7 m = 5, ms = 11, mst = a[1..3][1..4]
6284: n = 7 m = 8, ms = 26, mst = a[0..6][0..4]
6285: n = 6 m = 9, ms = 33, mst = a[2..4][1..6]
6286: n = 1 m = 5, ms = 8, mst = a[0..0][0..4]
6287: n = 2 m = 7, ms = 7, mst = a[0..0][0..1]
6288: n = 8 m = 4, ms = 15, mst = a[0..4][0..3]
6289: n = 6 m = 6, ms = 20, mst = a[2..5][0..2]
6290: n = 1 m = 1, ms = 0, mst is empty
6291: n = 3 m = 2, ms = 9, mst = a[0..2][0..0]
6292: n = 3 m = 1, ms = 1, mst = a[0..0][0..0]
6293: n = 7 m = 8, ms = 8, mst = a[5..6][4..4]
6294: n = 6 m = 5, ms = 11, mst = a[0..2][2..4]
6295: n = 5 m = 4, ms = 17, mst = a[1..4][0..3]
6296: n = 3 m = 9, ms = 17, mst = a[2..2][2..8]
6297: n = 8 m = 2, ms = 10, mst = a[5..7][0..1]
6298: n = 2 m = 4, ms = 1, mst = a[0..0][1..1]
6299: n = 4 m = 2, ms = 11, mst = a[0..3][0..1]
6300: n = 8 m = 2, ms = 18, mst = a[0..4][0..1]
6301: n = 6 m = 9, ms = 15, mst = a[0..5][0..6]
6302: n = 5 m = 8, ms = 15, mst = a[0..4][0..7]
6303: n = 6 m = 8, ms = 25, mst = a[0..5][0..3]
6304: n = 1 m = 5, ms = 7, mst = a[0..0][1..4]
6305: n = 8 m = 8, ms = 24, mst = a[0..6][0..4]
6306: n = 4 m = 2, ms = 3, mst = a[0..0][1..1]
6307: n = 2 m = 6, ms = 4, mst = a[0..1][0..0]
6308: n = 1 m = 7, ms = 4, mst = a[0..0][2..2]
6309: n = 2 m = 6, ms = 4, mst = a[1..1][3..4]
6310: n = 8 m = 5, ms = 21, mst = a[3..7][0..2]
6311: n = 4 m = 8, ms = 9, mst = a[0..2][6..7]
6312: n = 3 m = 9, ms = 9, mst = a[0..1][2..4]
6313: n = 9 m = 8, ms = 30, mst = a[0..3][0..6]
6314: n = 2 m = 8, ms = 11, mst = a[0..1][1..7]
6315: n = 8 m = 9, ms = 18, mst = a[0..0][0..8]
6316: n = 5 m = 3, ms = 16, mst = a[0..4][0..2]
6317: n = 3 m = 6, ms = 6, mst = a[0..1][3..3]
6318: n = 1 m = 9, ms = 9, mst = a[0..0][1..7]
6319: n = 7 m = 8, ms = 13, mst = a[5..6][5..7]
6320: n = 6 m = 8, ms = 35, mst = a[0..5][2..7]
6321: n = 10 m = 8, ms = 14, mst = a[3..6][1..1]
6322: n = 4 m = 4, ms = 9, mst = a[1..2][0..1]
6323: n = 7 m = 3, ms = 7, mst = a[4..5][0..0]
6324: n = 9 m = 8, ms = 21, mst = a[1..3][0..4]
6325: n = 1 m = 3, ms = 0, mst is empty
6326: n = 4 m = 7, ms = 13, mst = a[1..2][2..6]
6327: n = 8 m = 10, ms = 34, mst = a[0..6][2..9]
6328: n = 4 m = 4, ms = 13, mst = a[1..2][2..3]
6329: n = 3 m = 5, ms = 8, mst = a[1..2][0..2]
